Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	KEGG_COLORECTAL_CANCER	1.98022183672317e-06	7.11611309499017	11	589	0.00923971509015033	0.0186757215619694	0.00923971509015033	0.00923971509015033	PD	msigdbSetsPruned	3.68783518235468	13.7313798140939
myTestGenes	BIOCARTA_GLEEVEC_PATHWAY	4.55947837980409e-05	11.5542962357685	6	555	0.0578388204552049	0.0108108108108108	0.212745261201659	0.0578388204552049	PD	msigdbSetsPruned	4.53736458636404	29.422753883411
myTestGenes	PID_ERBB2_ERBB3_PATHWAY	4.94865313947871e-05	7.09901854127227	8	575	0.0578388204552049	0.0139130434782609	0.230904155488077	0.0578388204552049	PD	msigdbSetsPruned	3.28993814488558	15.3182406567951
myTestGenes	GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE	4.9583215135195e-05	3.17704196501909	18	726	0.0578388204552049	0.0247933884297521	0.23135528182082	0.0578388204552049	PD	msigdbSetsPruned	1.9436314124895	5.19316346846028
myTestGenes	GO_ADHERENS_JUNCTION_ORGANIZATION	0.000114288069038002	5.37801049111242	9	593	0.106653626026264	0.015177065767285	0.533268130131318	0.106653626026264	PD	msigdbSetsPruned	2.64392869901309	10.9394012226243
myTestGenes	BIOCARTA_TGFB_PATHWAY	0.000193126431585514	11.6711501515285	5	552	0.150187988296335	0.00905797101449275	0.901127929778009	0.150187988296335	PD	msigdbSetsPruned	4.18854223838719	32.5210390887628
myTestGenes	GO_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	0.000251202523705096	10.8956070521664	5	553	0.167444425086854	0.00904159132007233	1	0.167444425086854	PD	msigdbSetsPruned	3.94542727788107	30.089073926354
myTestGenes	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	0.000342370883493092	2.30729929442577	24	884	0.170085834237006	0.0271493212669683	1	0.170085834237006	PD	msigdbSetsPruned	1.51157118688074	3.52191817379334
myTestGenes	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.000388043348289227	7.27249835629264	6	565	0.170085834237006	0.0106194690265487	1	0.170085834237006	PD	msigdbSetsPruned	2.9900383318984	17.6884797020978
myTestGenes	GO_POSITIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.000388043348289227	7.27249835629264	6	565	0.170085834237006	0.0106194690265487	1	0.170085834237006	PD	msigdbSetsPruned	2.9900383318984	17.6884797020978
