Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	0.000179462870469894	3.86225375805492	12	768	0.290001042725473	0.015625	0.837373753612525	0.290001042725473	PD	msigdbSetsPruned	2.0941696355924	7.12311163244886
myTestGenes	KEGG_PPAR_SIGNALING_PATHWAY	0.00021992663934321	4.45341512203543	10	746	0.290001042725473	0.0134048257372654	1	0.290001042725473	PD	msigdbSetsPruned	2.26444633685621	8.75839092601698
myTestGenes	KEGG_CALCIUM_SIGNALING_PATHWAY	0.000237376455470861	2.89105195595636	17	839	0.290001042725473	0.0202622169249106	1	0.290001042725473	PD	msigdbSetsPruned	1.74045815096525	4.80228806846274
myTestGenes	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	0.000342928564455613	10.5244579132871	5	701	0.290001042725473	0.00713266761768902	1	0.290001042725473	PD	msigdbSetsPruned	3.69735518251989	29.9576883747103
myTestGenes	GO_AMINO_SUGAR_CATABOLIC_PROCESS	0.000372911756612267	16.8162353047623	4	695	0.290001042725473	0.00575539568345324	1	0.290001042725473	PD	msigdbSetsPruned	4.73446228646095	59.72922640736
myTestGenes	GO_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	0.000372911756612267	16.8162353047623	4	695	0.290001042725473	0.00575539568345324	1	0.290001042725473	PD	msigdbSetsPruned	4.73446228646095	59.72922640736
myTestGenes	BIOCARTA_41BB_PATHWAY	0.000459936496683042	9.71371774480408	5	702	0.306580527646153	0.00712250712250712	1	0.306580527646153	PD	msigdbSetsPruned	3.45316887209492	27.3245577962363
myTestGenes	GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.000556319939732461	4.30477425406386	9	742	0.324473604848958	0.0121293800539084	1	0.324473604848958	PD	msigdbSetsPruned	2.11477978981088	8.76265295693422
myTestGenes	REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	0.000691143793867396	6.59490183022248	6	712	0.339267384204174	0.00842696629213483	1	0.339267384204174	PD	msigdbSetsPruned	2.6766185546651	16.2491327254935
myTestGenes	GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_EXONUCLEOLYTIC	0.000727105409781771	5.36697828560302	7	722	0.339267384204174	0.00969529085872576	1	0.339267384204174	PD	msigdbSetsPruned	2.36570940018326	12.175821728528
myTestGenes	REACTOME_PERK_REGULATES_GENE_EXPRESSION	0.00100375631536358	6.06593861614258	6	714	0.425775178862405	0.00840336134453781	1	0.425775178862405	PD	msigdbSetsPruned	2.48031697760548	14.8350439185932
myTestGenes	GO_MEMBRANE_PROTEIN_PROTEOLYSIS	0.00110419716860434	4.31011231286701	8	736	0.429348665725655	0.0108695652173913	1	0.429348665725655	PD	msigdbSetsPruned	2.02878865967393	9.15672909592935
myTestGenes	GO_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	0.00157245417485683	10.0890934999341	4	699	0.564390090760153	0.00572246065808298	1	0.564390090760153	PD	msigdbSetsPruned	3.15627324630717	32.2499985606463
myTestGenes	REACTOME_P75NTR_SIGNALS_VIA_NF_KB	0.00207975168521207	9.17188487162564	4	700	0.679579544404996	0.00571428571428571	1	0.679579544404996	PD	msigdbSetsPruned	2.91306209910638	28.8780222447579
myTestGenes	GO_APICAL_JUNCTION_ASSEMBLY	0.00218467491771859	3.82125884741144	8	742	0.679579544404996	0.0107816711590297	1	0.679579544404996	PD	msigdbSetsPruned	1.80980647727414	8.06827656010671
myTestGenes	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.00243175381755009	3.40261464960655	9	756	0.709160207043045	0.0119047619047619	1	0.709160207043045	PD	msigdbSetsPruned	1.68962305556171	6.85228957761121
