Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_PROTEIN_TARGETING_TO_MEMBRANE	1.23372557353298e-05	3.43039887887364	19	762	0.0539670361599743	0.0249343832020997	0.057565635261049	0.0539670361599743	PD	msigdbSetsPruned	2.11839464135999	5.55497839657618
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	2.31320343591832e-05	2.16148609005201	40	1156	0.0539670361599743	0.0346020761245675	0.107934072319949	0.0539670361599743	PD	msigdbSetsPruned	1.55127465746865	3.01173109158637
myTestGenes	GO_KINETOCHORE_ORGANIZATION	4.62541850177273e-05	11.7505597931003	6	612	0.0719406757642385	0.00980392156862745	0.215822027292715	0.0719406757642385	PD	msigdbSetsPruned	4.54300168572573	30.3930451721082
myTestGenes	GO_RNA_METHYLATION	0.000126709801041562	4.75875690188627	10	659	0.147806982914982	0.0151745068285281	0.591227931659928	0.147806982914982	PD	msigdbSetsPruned	2.42787723322665	9.3273938819196
myTestGenes	REACTOME_METABOLISM_OF_RNA	0.000231482477872631	1.9385360839618	39	1202	0.216019448350739	0.0324459234608985	1	0.216019448350739	PD	msigdbSetsPruned	1.38724551538235	2.70890920687979
myTestGenes	GO_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	0.000518628843664008	9.16599898267279	5	613	0.403320364089377	0.00815660685154975	1	0.403320364089377	PD	msigdbSetsPruned	3.34666424010267	25.1042624305153
myTestGenes	GO_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	0.00067278365738269	6.52545797265982	6	624	0.412355395407661	0.00961538461538462	1	0.412355395407661	PD	msigdbSetsPruned	2.68398508480529	15.8650664618126
myTestGenes	GO_PROTEIN_TARGETING	0.00072198476062548	2.07504153207324	27	985	0.412355395407661	0.0274111675126904	1	0.412355395407661	PD	msigdbSetsPruned	1.39242576975263	3.09229939100726
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.000795370458351683	1.49371296446132	85	2336	0.412355395407661	0.0363869863013699	1	0.412355395407661	PD	msigdbSetsPruned	1.18106684786532	1.88912119939062
myTestGenes	REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	0.000922792933044644	11.7144576374124	4	607	0.430575182558631	0.00658978583196046	1	0.430575182558631	PD	msigdbSetsPruned	3.66338273974542	37.4595087348878
myTestGenes	GO_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	0.00117265693407383	2.88733963528105	13	730	0.478855521064088	0.0178082191780822	1	0.478855521064088	PD	msigdbSetsPruned	1.62391863955181	5.1337117306356
