Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	0.000228893177235562	3.28244114665355	14	646	0.908933819238298	0.021671826625387	1	0.908933819238298	PD	msigdbSetsPruned	1.88531864439785	5.71490655611983
myTestGenes	GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	0.000389598722348177	1.61066705931432	69	2103	0.908933819238298	0.0328102710413695	1	0.908933819238298	PD	msigdbSetsPruned	1.24237659011704	2.08813365979139
myTestGenes	GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_DIAMETER	0.000790353364865397	5.14736989066703	7	540	1	0.012962962962963	1	1	PD	msigdbSetsPruned	2.31959539669523	11.4224303208629
myTestGenes	GO_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.00132613959785097	5.53447397567506	6	530	1	0.0113207547169811	1	1	PD	msigdbSetsPruned	2.33207138500102	13.1344187765552
myTestGenes	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.00133554862080005	3.69275079838194	9	579	1	0.0155440414507772	1	1	PD	msigdbSetsPruned	1.84872738049821	7.37610564045176
myTestGenes	BIOCARTA_NTHI_PATHWAY	0.00271632860671374	7.97184210571666	4	509	1	0.00785854616895874	1	1	PD	msigdbSetsPruned	2.68787088516759	23.643347940991
myTestGenes	GO_RESPONSE_TO_GRAVITY	0.00283429478434743	13.4281603591827	3	499	1	0.00601202404809619	1	1	PD	msigdbSetsPruned	3.55154296573473	50.7710289222486
myTestGenes	REACTOME_PROGRAMMED_CELL_DEATH	0.0034789420754402	2.63055248935741	12	656	1	0.0182926829268293	1	1	PD	msigdbSetsPruned	1.45380858004386	4.75977820894114
myTestGenes	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX	0.00354794129699999	5.44151012655254	5	524	1	0.00954198473282443	1	1	PD	msigdbSetsPruned	2.1151921928594	13.998743261881
myTestGenes	KEGG_ACUTE_MYELOID_LEUKEMIA	0.00375446589409785	4.40290453505329	6	540	1	0.0111111111111111	1	1	PD	msigdbSetsPruned	1.8771116751664	10.3273388585548
myTestGenes	GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.00411015939760576	4.31450253055843	6	541	1	0.011090573012939	1	1	PD	msigdbSetsPruned	1.8411160595495	10.1106782430381
myTestGenes	REACTOME_SELENOAMINO_ACID_METABOLISM	0.00427969611824365	3.0622269545171	9	597	1	0.0150753768844221	1	1	PD	msigdbSetsPruned	1.54133081748368	6.08385546736815
myTestGenes	REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.00444845143549536	5.13030778215927	5	526	1	0.00950570342205323	1	1	PD	msigdbSetsPruned	2.00126854998717	13.151687183538
myTestGenes	PID_FAK_PATHWAY	0.00449015839237252	4.22999312137453	6	542	1	0.011070110701107	1	1	PD	msigdbSetsPruned	1.80665169245056	9.9038690643274
myTestGenes	REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.00471708015170016	10.7418861091222	3	501	1	0.00598802395209581	1	1	PD	msigdbSetsPruned	2.94700296348103	39.1543946888517
myTestGenes	GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION	0.00509379197319359	6.52053854863679	4	513	1	0.00779727095516569	1	1	PD	msigdbSetsPruned	2.23845543531226	18.9940895376044
myTestGenes	GO_PROTEIN_TARGETING	0.00518823592329417	1.93887873626282	21	885	1	0.023728813559322	1	1	PD	msigdbSetsPruned	1.23823661919614	3.03597123171224
myTestGenes	PID_BCR_5PATHWAY	0.00578562404558985	3.99440322903793	6	545	1	0.0110091743119266	1	1	PD	msigdbSetsPruned	1.71023728249067	9.32926519582855
myTestGenes	BIOCARTA_DEATH_PATHWAY	0.00585272975964365	6.23676019393227	4	514	1	0.00778210116731518	1	1	PD	msigdbSetsPruned	2.14866417260726	18.1029582065488
myTestGenes	GO_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTIONAL_PREINITIATION_COMPLEX_ASSEMBLY	0.00588302382979341	9.7645978616706	3	502	1	0.00597609561752988	1	1	PD	msigdbSetsPruned	2.7154935326627	35.1123544406487
myTestGenes	GO_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	0.00588302382979341	9.7645978616706	3	502	1	0.00597609561752988	1	1	PD	msigdbSetsPruned	2.7154935326627	35.1123544406487
myTestGenes	GO_REGULATION_OF_FATTY_ACID_OXIDATION	0.00668337799507627	5.97662648326172	4	515	1	0.00776699029126214	1	1	PD	msigdbSetsPruned	2.06578897507543	17.2912454037669
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.00730460168928045	1.41511784993087	67	2248	1	0.0298042704626335	1	1	PD	msigdbSetsPruned	1.08856613059335	1.83962964941913
myTestGenes	PID_MYC_REPRESS_PATHWAY	0.00733450066081973	3.78376943188043	6	548	1	0.0109489051094891	1	1	PD	msigdbSetsPruned	1.62363671551224	8.81780448597205
myTestGenes	GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION	0.00739142115540084	4.48785467840468	5	531	1	0.00941619585687382	1	1	PD	msigdbSetsPruned	1.76350960894989	11.4208845317673
myTestGenes	PID_IGF1_PATHWAY	0.00758847044741417	5.73776507842258	4	516	1	0.00775193798449612	1	1	PD	msigdbSetsPruned	1.98922171779349	16.5501652232531
myTestGenes	GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.00791156717357685	3.71844525258832	6	549	1	0.0109289617486339	1	1	PD	msigdbSetsPruned	1.59670229356283	8.6596199881719
myTestGenes	GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	0.00804978528860935	3.2706168941139	7	568	1	0.0123239436619718	1	1	PD	msigdbSetsPruned	1.50076305718947	7.12766403518471
myTestGenes	PID_LKB1_PATHWAY	0.00811104956206967	4.37817656429248	5	532	1	0.0093984962406015	1	1	PD	msigdbSetsPruned	1.72257141971121	11.1277998745233
