Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_MACROMOLECULE_CATABOLIC_PROCESS	6.8089272637989e-06	2.42235855947908	37	1506	0.0317704546128856	0.0245683930942895	0.0317704546128856	0.0317704546128856	PD	msigdbSetsPruned	1.69739513716033	3.45695640468145
myTestGenes	PID_PI3KCI_PATHWAY	3.62306867525535e-05	11.0393661853142	6	277	0.0845261921937074	0.0216606498194946	0.169052384387415	0.0845261921937074	PD	msigdbSetsPruned	4.64679702761418	26.2261521321557
myTestGenes	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	0.000112144112622235	3.34009946509705	15	590	0.132483741818906	0.0254237288135593	0.523264429495348	0.132483741818906	PD	msigdbSetsPruned	1.95915126540633	5.69443750144927
myTestGenes	REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	0.000128935611765327	11.668018691548	5	268	0.132483741818906	0.0186567164179104	0.601613564497016	0.132483741818906	PD	msigdbSetsPruned	4.51451739906979	30.1566365021355
myTestGenes	GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	0.000155866993208442	8.27463008684537	6	291	0.132483741818906	0.0206185567010309	0.727275390310589	0.132483741818906	PD	msigdbSetsPruned	3.52972661263593	19.3979621053413
myTestGenes	REACTOME_TCR_SIGNALING	0.000170360576706695	5.59836047160423	8	346	0.132483741818906	0.023121387283237	0.794902450913438	0.132483741818906	PD	msigdbSetsPruned	2.69965676086067	11.6094906672613
myTestGenes	GO_RESPONSE_TO_L_GLUTAMATE	0.000247057485184978	32.7382783716843	3	242	0.134807448158053	0.012396694214876	1	0.134807448158053	PD	msigdbSetsPruned	8.41342996696451	127.390954099614
myTestGenes	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.000258897106492007	3.22369541598424	14	577	0.134807448158053	0.024263431542461	1	0.134807448158053	PD	msigdbSetsPruned	1.85866674366175	5.59121863587237
myTestGenes	REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	0.000260022939010389	7.47236180613255	6	297	0.134807448158053	0.0202020202020202	1	0.134807448158053	PD	msigdbSetsPruned	3.19997279051797	17.4489580433934
myTestGenes	GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.000355812509503421	2.276362638549	25	1117	0.166022116934296	0.0223813786929275	1	0.166022116934296	PD	msigdbSetsPruned	1.49542644731299	3.46511650338442
myTestGenes	GO_AXONAL_TRANSPORT_OF_MITOCHONDRION	0.000444254447149694	25.4735979001902	3	244	0.188444659127316	0.0122950819672131	1	0.188444659127316	PD	msigdbSetsPruned	6.85221863094499	94.6998665585604
myTestGenes	PID_BARD1_PATHWAY	0.000522231733958897	12.2704889893616	4	260	0.201152222953802	0.0153846153846154	1	0.201152222953802	PD	msigdbSetsPruned	4.23657046105755	35.5393357485807
myTestGenes	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.000560432682897433	2.00433992443682	32	1529	0.201152222953802	0.0209287115761936	1	0.201152222953802	PD	msigdbSetsPruned	1.37472256914586	2.92231947220265
myTestGenes	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.000638917964908465	5.20806975281913	7	339	0.210251008475292	0.0206489675516224	1	0.210251008475292	PD	msigdbSetsPruned	2.39600776023859	11.3204936145651
myTestGenes	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.000685745991462266	3.21649896470452	12	527	0.210251008475292	0.0227703984819734	1	0.210251008475292	PD	msigdbSetsPruned	1.77902133662395	5.8154814543026
myTestGenes	BIOCARTA_ERK5_PATHWAY	0.000720963595286042	20.8447694442427	3	246	0.210251008475292	0.0121951219512195	1	0.210251008475292	PD	msigdbSetsPruned	5.77723613987149	75.2097374356762
myTestGenes	PID_NEPHRIN_NEPH1_PATHWAY	0.00076679721822334	10.9526274836858	4	263	0.210463283542947	0.0152091254752852	1	0.210463283542947	PD	msigdbSetsPruned	3.81105333024921	31.4768748692754
myTestGenes	GO_DOUBLE_STRAND_BREAK_REPAIR	0.00111794198950579	3.44536897198323	10	461	0.279068587771782	0.0216919739696312	1	0.279068587771782	PD	msigdbSetsPruned	1.80426430405305	6.57917319898145
myTestGenes	PID_P75_NTR_PATHWAY	0.00119790346531006	6.86549125419288	5	291	0.279068587771782	0.0171821305841924	1	0.279068587771782	PD	msigdbSetsPruned	2.72501273567903	17.2971559157332
myTestGenes	GO_REGULATION_OF_CELL_MORPHOGENESIS	0.0012300142194251	2.62068085936824	15	685	0.279068587771782	0.0218978102189781	1	0.279068587771782	PD	msigdbSetsPruned	1.5404725234239	4.45835161758944
myTestGenes	GO_RESPONSE_TO_ABIOTIC_STIMULUS	0.00127696932162822	1.98353091880457	28	1368	0.279068587771782	0.0204678362573099	1	0.279068587771782	PD	msigdbSetsPruned	1.33063185899838	2.95678694241943
myTestGenes	PID_PI3K_PLC_TRK_PATHWAY	0.00133825073684884	9.29107725076068	4	268	0.279068587771782	0.0149253731343284	1	0.279068587771782	PD	msigdbSetsPruned	3.26504271188852	26.4388934837769
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.00141295803741777	1.77937221602243	39	2020	0.279068587771782	0.0193069306930693	1	0.279068587771782	PD	msigdbSetsPruned	1.25751326739444	2.51779886959989
myTestGenes	PID_ERBB4_PATHWAY	0.00148052310450571	9.01984968855913	4	269	0.279068587771782	0.0148698884758364	1	0.279068587771782	PD	msigdbSetsPruned	3.17492587527526	25.6250670410208
myTestGenes	PID_PDGFRB_PATHWAY	0.00154337030384313	4.43490444811088	7	357	0.279068587771782	0.0196078431372549	1	0.279068587771782	PD	msigdbSetsPruned	2.04749734556991	9.60605761293388
myTestGenes	BIOCARTA_PTEN_PATHWAY	0.00155503285085005	15.2800278811976	3	250	0.279068587771782	0.012	1	0.279068587771782	PD	msigdbSetsPruned	4.39376198091704	53.1388029356671
