Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	postsynaptic.ribosome	0.0120558854127669	4.78364891833385	4	299	0.993251300077593	0.0133779264214047	1	0.993251300077593	PD	syngoAll	1.7276080993543	13.2456527510084
myTestGenes	modulation.of.chemical.synaptic.transmission	0.0191009865399537	4.13489544911525	4	309	0.993251300077593	0.0129449838187702	1	0.993251300077593	PD	syngoAll	1.49928185581843	11.4036999172387
myTestGenes	synapse	0.0580852978947206	1.54731019007991	18	1138	1	0.015817223198594	1	1	PD	syngoAll	0.952298842790018	2.51409401833438
myTestGenes	postsynapse	0.0633040020555134	1.69529271313743	12	781	1	0.0153649167733675	1	1	PD	syngoAll	0.942529970529782	3.04925835048134
myTestGenes	transport	0.0652799181495365	5.06797872939263	2	265	1	0.00754716981132075	1	1	PD	syngoAll	1.20410582969417	21.3306901836857
myTestGenes	postsynaptic.density	0.0792577716745194	2.06831862506394	6	457	1	0.0131291028446389	1	1	PD	syngoAll	0.909751678894171	4.70231826335988
myTestGenes	chemical.synaptic.transmission	0.105134042410026	2.29322251935648	4	368	1	0.0108695652173913	1	1	PD	syngoAll	0.841050501549637	6.25273929876293
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.146062284761541	6.88837789531008	1	246	1	0.0040650406504065	1	1	PD	syngoAll	0.885700679210617	53.5731214194012
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	0.146062284761541	6.88837789531008	1	246	1	0.0040650406504065	1	1	PD	syngoAll	0.885700679210617	53.5731214194012
myTestGenes	neurotransmitter.receptor.transport	0.157228906712537	6.31440880638936	1	247	1	0.00404858299595142	1	1	PD	syngoAll	0.817690561850601	48.761426919212
myTestGenes	synaptic.vesicle.priming	0.157228906712537	6.31440880638936	1	247	1	0.00404858299595142	1	1	PD	syngoAll	0.817690561850601	48.761426919212
myTestGenes	postsynaptic.specialization	0.15767038579476	1.68333593450911	6	507	1	0.0118343195266272	1	1	PD	syngoAll	0.741853341920925	3.81964966427514
myTestGenes	trans.synaptic.signaling	0.157721592992126	1.95261474925774	4	391	1	0.010230179028133	1	1	PD	syngoAll	0.717654267228447	5.31273139884385
myTestGenes	synaptic.signaling	0.162693554183274	1.92768589811431	4	393	1	0.0101781170483461	1	1	PD	syngoAll	0.708602371396473	5.2440876178068
myTestGenes	synaptic.vesicle.proton.loading	0.168250120230777	5.82851489352819	1	248	1	0.00403225806451613	1	1	PD	syngoAll	0.759336138717864	44.7385342694749
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.200460043562848	4.73513587427974	1	251	1	0.00398406374501992	1	1	PD	syngoAll	0.625362525722082	35.8536222201702
myTestGenes	presynaptic.active.zone.cytoplasmic.component	0.210918236247012	4.456519466778	1	252	1	0.00396825396825397	1	1	PD	syngoAll	0.590624497161293	33.6263833505497
myTestGenes	postsynaptic.cytosol	0.25140634781883	3.60656482714255	1	256	1	0.00390625	1	1	PD	syngoAll	0.483110587752961	26.9240835993291
myTestGenes	structural.constituent.of.synapse	0.335099460737044	2.52371735796063	1	265	1	0.00377358490566038	1	1	PD	syngoAll	0.34272191235057	18.5840154170148
myTestGenes	postsynaptic.density..intracellular.component	0.360872125155081	2.2939188966853	1	268	1	0.00373134328358209	1	1	PD	syngoAll	0.312425331311372	16.842628869058
myTestGenes	presynapse	0.386938168153648	1.18285872657518	7	684	1	0.010233918128655	1	1	PD	syngoAll	0.55434084931329	2.52399722800206
myTestGenes	process.in.the.synapse	0.394666237646752	1.12706983647044	11	976	1	0.0112704918032787	1	1	PD	syngoAll	0.612546724340307	2.07377880870975
myTestGenes	synaptic.vesicle	0.39512866343359	1.48490395281916	2	337	1	0.00593471810089021	1	1	PD	syngoAll	0.36419836111559	6.05422754331992
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.401634614041804	1.99156983487198	1	273	1	0.00366300366300366	1	1	PD	syngoAll	0.272291248466977	14.5665732171081
myTestGenes	regulation.of.postsynapse.organization	0.447146188235734	1.7194295374878	1	279	1	0.003584229390681	1	1	PD	syngoAll	0.235900171039573	12.5325807156349
myTestGenes	protein.translation.at.presynapse	0.4755552063141	1.57577980251841	1	283	1	0.00353356890459364	1	1	PD	syngoAll	0.216588379617258	11.464520813226
myTestGenes	presynaptic.ribosome	0.482427322212184	1.54352966288167	1	284	1	0.00352112676056338	1	1	PD	syngoAll	0.212242983118541	11.2252654254531
