Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	NABA_BASEMENT_MEMBRANES	0.000142622407885039	7.15226359154499	7	587	0.416937939450388	0.0119250425894378	0.665476155191592	0.416937939450388	PD	msigdbSetsPruned	3.13567237760986	16.3138454285624
myTestGenes	GO_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.000250866849136873	18.0239243233043	4	563	0.416937939450388	0.00710479573712256	1	0.416937939450388	PD	msigdbSetsPruned	5.26081629469045	61.7512244896425
myTestGenes	GO_BETA_CATENIN_TCF_COMPLEX_ASSEMBLY	0.000268069828193563	7.90910951196036	6	580	0.416937939450388	0.0103448275862069	1	0.416937939450388	PD	msigdbSetsPruned	3.22000711509023	19.4266692700861
myTestGenes	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.000423250777735324	1.6353940104473	63	1819	0.493722032228256	0.0346344145134689	1	0.493722032228256	PD	msigdbSetsPruned	1.25040012900943	2.13892617839511
myTestGenes	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.000857379053538866	1.58521177336277	63	1856	0.720710928973228	0.0339439655172414	1	0.720710928973228	PD	msigdbSetsPruned	1.21222576227279	2.07296070139322
myTestGenes	GO_SYNAPSE_ORGANIZATION	0.000954001422179273	2.13250081448843	24	917	0.720710928973228	0.0261723009814613	1	0.720710928973228	PD	msigdbSetsPruned	1.39823679415679	3.25235306551652
myTestGenes	REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	0.00108122085358178	3.26667023720257	11	663	0.720710928973228	0.0165912518853695	1	0.720710928973228	PD	msigdbSetsPruned	1.74603062328299	6.11165365390936
myTestGenes	REACTOME_SIGNALING_BY_NOTCH1	0.00139080853737693	4.08816269269379	8	618	0.765738790909278	0.0129449838187702	1	0.765738790909278	PD	msigdbSetsPruned	1.94815998849973	8.57890229785698
myTestGenes	REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.00185034985946707	3.52299419492041	9	637	0.765738790909278	0.0141287284144427	1	0.765738790909278	PD	msigdbSetsPruned	1.76014753819636	7.05139076589063
myTestGenes	GO_NEGATIVE_REGULATION_OF_LIPID_STORAGE	0.00195811208755575	9.00987269825416	4	570	0.765738790909278	0.00701754385964912	1	0.765738790909278	PD	msigdbSetsPruned	2.95612521488182	27.4608821135444
