Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synapse.assembly	0.0110716409738018	3.07302562268158	7	628	0.903979235442398	0.0111464968152866	1	0.903979235442398	PD	syngoAll	1.40781418977546	6.70790687169
myTestGenes	trans.synaptic.signaling	0.0271629062408935	2.10938682366563	10	706	0.903979235442398	0.0141643059490085	1	0.903979235442398	PD	syngoAll	1.10585582631086	4.02359210485671
myTestGenes	synaptic.signaling	0.0292559335553308	2.08130786887271	10	708	0.903979235442398	0.0141242937853107	1	0.903979235442398	PD	syngoAll	1.09142006734851	3.96899651621324
myTestGenes	chemical.synaptic.transmission	0.0626509239121267	1.95746813762192	8	685	0.903979235442398	0.0116788321167883	1	0.903979235442398	PD	syngoAll	0.953588771476205	4.01816970209642
myTestGenes	synapse.organization	0.0627383139329698	1.65833295591534	13	804	0.903979235442398	0.0161691542288557	1	0.903979235442398	PD	syngoAll	0.943305782704657	2.91535177998154
myTestGenes	postsynaptic.specialization.assembly	0.0644161898378559	3.49561715452989	3	583	0.903979235442398	0.00514579759862779	1	0.903979235442398	PD	syngoAll	1.05727116230775	11.5574317418929
myTestGenes	postsynaptic.actin.cytoskeleton	0.076832334762084	4.83495909908738	2	569	0.903979235442398	0.00351493848857645	1	0.903979235442398	PD	syngoAll	1.08843916331553	21.4773873246521
myTestGenes	presynapse.assembly	0.0860668063947759	4.48886545032654	2	570	0.903979235442398	0.00350877192982456	1	0.903979235442398	PD	syngoAll	1.01772186134217	19.7990372384864
myTestGenes	process.in.the.synapse	0.0926993247609613	1.31958313168865	30	1278	0.903979235442398	0.0234741784037559	1	0.903979235442398	PD	syngoAll	0.906593964541443	1.92070508909462
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	0.0929292699310924	2.94864075718066	3	588	0.903979235442398	0.00510204081632653	1	0.903979235442398	PD	syngoAll	0.900196205878287	9.65843030456237
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	0.0956131883640998	4.18994672797664	2	571	0.903979235442398	0.00350262697022767	1	0.903979235442398	PD	syngoAll	0.955835860353362	18.3668078500341
myTestGenes	postsynaptic.cytoskeleton	0.125850561494399	3.4911119159838	2	574	1	0.00348432055749129	1	1	PD	syngoAll	0.808055742599547	15.0829475831893
myTestGenes	regulation.of.synapse.assembly	0.13265849538237	2.48217772553272	3	594	1	0.00505050505050505	1	1	PD	syngoAll	0.763886906846517	8.06560003308022
myTestGenes	postsynaptic.modulation.of.chemical.synaptic.transmission	0.147091394671192	3.14166841379825	2	576	1	0.00347222222222222	1	1	PD	syngoAll	0.732508750383502	13.4743515583809
myTestGenes	postsynaptic.cytosol	0.147091394671192	3.14166841379825	2	576	1	0.00347222222222222	1	1	PD	syngoAll	0.732508750383502	13.4743515583809
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	0.157968505287226	2.99191923294122	2	577	1	0.00346620450606586	1	1	PD	syngoAll	0.69979028301642	12.7918047930848
myTestGenes	regulation.of.synapse.organization	0.191385826989035	2.61755253769127	2	580	1	0.00344827586206897	1	1	PD	syngoAll	0.617078444228329	11.1032581864727
myTestGenes	regulation.of.presynapse.assembly	0.191385826989035	2.61755253769127	2	580	1	0.00344827586206897	1	1	PD	syngoAll	0.617078444228329	11.1032581864727
myTestGenes	modulation.of.chemical.synaptic.transmission	0.22144941224082	1.69920385060237	4	630	1	0.00634920634920635	1	1	PD	syngoAll	0.619067916607554	4.66393694204679
myTestGenes	process.in.the.postsynapse	0.259440246358452	1.37596776956976	7	716	1	0.00977653631284916	1	1	PD	syngoAll	0.642467115412174	2.94690149499736
myTestGenes	transport	0.260227569656336	2.09337593586352	2	586	1	0.00341296928327645	1	1	PD	syngoAll	0.49902415908361	8.78158447659087
myTestGenes	neurotransmitter.reuptake	0.269584157899716	3.48662289713648	1	565	1	0.00176991150442478	1	1	PD	syngoAll	0.440953613207498	27.5687484187048
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	0.269584157899716	3.48662289713648	1	565	1	0.00176991150442478	1	1	PD	syngoAll	0.440953613207498	27.5687484187048
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	0.271792224219677	2.02574134714301	2	587	1	0.00340715502555366	1	1	PD	syngoAll	0.483597683789427	8.48562378001718
myTestGenes	postsynapse.organization	0.291924440968328	1.62451633376008	3	614	1	0.00488599348534202	1	1	PD	syngoAll	0.50743972133078	5.20072278088969
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	0.292179785129832	3.13780909379066	1	566	1	0.00176678445229682	1	1	PD	syngoAll	0.400966645532039	24.5552741575575
myTestGenes	metabolism	0.29629180025583	1.47836565748941	4	641	1	0.0062402496099844	1	1	PD	syngoAll	0.540408118230902	4.04428605624731
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.314077628412053	2.85244158092949	1	567	1	0.0017636684303351	1	1	PD	syngoAll	0.367614062130579	22.1330569496153
myTestGenes	presynaptic.membrane	0.325828156627555	1.34252024643194	5	673	1	0.00742942050520059	1	1	PD	syngoAll	0.546329383307593	3.29903656502568
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.331360350973555	1.39584337109476	4	646	1	0.00619195046439629	1	1	PD	syngoAll	0.510879862389194	3.81377082963763
myTestGenes	neurotransmitter.receptor.transport	0.335299198642042	2.61463818776937	1	568	1	0.00176056338028169	1	1	PD	syngoAll	0.339372566127543	20.1440350083355
myTestGenes	neuronal.dense.core.vesicle	0.335299198642042	2.61463818776937	1	568	1	0.00176056338028169	1	1	PD	syngoAll	0.339372566127543	20.1440350083355
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.340690448273012	1.69667920823345	2	593	1	0.00337268128161889	1	1	PD	syngoAll	0.407900072631392	7.05741559956309
myTestGenes	maintenance.of.synapse.structure	0.355865344749733	2.41336647434531	1	569	1	0.00175746924428822	1	1	PD	syngoAll	0.315145613593895	18.4814177582028
myTestGenes	regulation.of.postsynaptic.density.assembly	0.355865344749733	2.41336647434531	1	569	1	0.00175746924428822	1	1	PD	syngoAll	0.315145613593895	18.4814177582028
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	0.363255959539956	1.60948181004823	2	595	1	0.00336134453781513	1	1	PD	syngoAll	0.387660701936291	6.68221381207178
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	0.363255959539956	1.60948181004823	2	595	1	0.00336134453781513	1	1	PD	syngoAll	0.387660701936291	6.68221381207178
myTestGenes	synaptic.membrane	0.375796274034534	2.24097864873011	1	570	1	0.00175438596491228	1	1	PD	syngoAll	0.294157606861617	17.0724305165657
myTestGenes	synaptic.cleft	0.395111571877196	2.09143821646649	1	571	1	0.00175131348511384	1	1	PD	syngoAll	0.27576926824485	15.8614984227062
myTestGenes	presynaptic.endocytic.zone	0.395111571877196	2.09143821646649	1	571	1	0.00175131348511384	1	1	PD	syngoAll	0.27576926824485	15.8614984227062
myTestGenes	regulation.of.postsynapse.organization	0.407443609664993	1.45942785833414	2	599	1	0.00333889816360601	1	1	PD	syngoAll	0.352653052332338	6.03973128715346
myTestGenes	synapse	0.410414072176223	1.05851393819542	30	1447	1	0.0207325501036628	1	1	PD	syngoAll	0.728209169931569	1.53864000017915
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.431970619222034	1.845263302299	1	573	1	0.00174520069808028	1	1	PD	syngoAll	0.245128840891612	13.8906407031762
