Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	2.30476095421531e-05	2.29313476711115	35	1058	0.107540146123687	0.0330812854442344	0.107540146123687	0.107540146123687	PD	msigdbSetsPruned	1.60975734343388	3.26662094854416
myTestGenes	GO_CELLULAR_RESPIRATION	4.86235322740665e-05	3.32602062024524	17	754	0.113438700795397	0.0225464190981432	0.226877401590794	0.113438700795397	PD	msigdbSetsPruned	2.00068708360231	5.52930703505029
myTestGenes	GO_OXIDATION_REDUCTION_PROCESS	0.000226546369707161	1.76824050896736	52	1483	0.233239411546665	0.0350640593391773	1	0.233239411546665	PD	msigdbSetsPruned	1.32006962150307	2.36856787446787
myTestGenes	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.000288083599891091	3.0692071628138	15	747	0.233239411546665	0.0200803212851406	1	0.233239411546665	PD	msigdbSetsPruned	1.79170275868977	5.25758670771721
myTestGenes	GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.000346833188216052	1.68258365399289	58	1636	0.233239411546665	0.0354523227383863	1	0.233239411546665	PD	msigdbSetsPruned	1.27434393246249	2.22160413728605
myTestGenes	GO_ATP_METABOLIC_PROCESS	0.000380456940650253	2.44788446842566	21	856	0.233239411546665	0.0245327102803738	1	0.233239411546665	PD	msigdbSetsPruned	1.5565383684229	3.84965670767941
myTestGenes	GO_POSITIVE_REGULATION_OF_AXON_EXTENSION	0.000387498296111048	5.98099437523416	7	638	0.233239411546665	0.0109717868338558	1	0.233239411546665	PD	msigdbSetsPruned	2.64058966463993	13.5470854088421
myTestGenes	GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	0.000399896119239889	2.6515947964078	18	803	0.233239411546665	0.0224159402241594	1	0.233239411546665	PD	msigdbSetsPruned	1.6254224999959	4.32561685614334
myTestGenes	GO_RESPONSE_TO_INORGANIC_SUBSTANCE	0.000472837048547734	1.97528748364113	33	1098	0.235425276265961	0.0300546448087432	1	0.235425276265961	PD	msigdbSetsPruned	1.37516792742959	2.8372975875916
myTestGenes	GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	0.000536306345540854	4.29361013382033	9	665	0.235425276265961	0.0135338345864662	1	0.235425276265961	PD	msigdbSetsPruned	2.1223001757031	8.68637160393076
myTestGenes	PID_HIF2PATHWAY	0.000602045447544407	6.694756596248	6	630	0.235425276265961	0.00952380952380952	1	0.235425276265961	PD	msigdbSetsPruned	2.74528317608495	16.3260993523166
myTestGenes	PID_ILK_PATHWAY	0.000605465776937749	5.49437728123852	7	641	0.235425276265961	0.0109204368174727	1	0.235425276265961	PD	msigdbSetsPruned	2.4394255478882	12.375119107334
myTestGenes	GO_OXIDATIVE_PHOSPHORYLATION	0.000831037975824876	3.18185170694753	12	714	0.254528757919352	0.0168067226890756	1	0.254528757919352	PD	msigdbSetsPruned	1.74366860047118	5.80625256557873
myTestGenes	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.000836313103945871	2.47524557456469	18	817	0.254528757919352	0.02203182374541	1	0.254528757919352	PD	msigdbSetsPruned	1.51929133935241	4.03269636027387
myTestGenes	GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.000867212857977765	3.63967190310266	10	684	0.254528757919352	0.0146198830409357	1	0.254528757919352	PD	msigdbSetsPruned	1.87652440461569	7.05944006358284
myTestGenes	GO_PROTEIN_MATURATION	0.000872794712110937	2.33678554000015	20	855	0.254528757919352	0.0233918128654971	1	0.254528757919352	PD	msigdbSetsPruned	1.47104388821113	3.71203517700217
myTestGenes	GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	0.000963896760200148	11.5736649258479	4	614	0.263638788330466	0.00651465798045603	1	0.263638788330466	PD	msigdbSetsPruned	3.61947111846296	37.0080919094848
myTestGenes	PID_LYMPH_ANGIOGENESIS_PATHWAY	0.00105117780023986	7.62614168468249	5	623	0.263638788330466	0.00802568218298555	1	0.263638788330466	PD	msigdbSetsPruned	2.83793318819406	20.4930959040164
myTestGenes	GO_NEURON_DEATH	0.0010818121074059	2.15123344405293	23	918	0.263638788330466	0.0250544662309368	1	0.263638788330466	PD	msigdbSetsPruned	1.3974526016888	3.31160092672853
myTestGenes	GO_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE	0.00117443042028573	4.83960748489364	7	646	0.263638788330466	0.0108359133126935	1	0.263638788330466	PD	msigdbSetsPruned	2.16521210304686	10.8173238893685
myTestGenes	BIOCARTA_MAPK_PATHWAY	0.00118654405378049	3.79444705489789	9	673	0.263638788330466	0.0133729569093611	1	0.263638788330466	PD	msigdbSetsPruned	1.88534653179371	7.63670137538336
myTestGenes	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS	0.00133989075541395	5.61337425749263	6	635	0.275062996049046	0.0094488188976378	1	0.275062996049046	PD	msigdbSetsPruned	2.33305844893357	13.5058641883078
myTestGenes	GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	0.00135586131785857	1.48189145999193	79	2206	0.275062996049046	0.0358114233907525	1	0.275062996049046	PD	msigdbSetsPruned	1.16331354253991	1.88771317352876
myTestGenes	GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	0.00144576580559233	4.07854113886246	8	661	0.281080968703909	0.0121028744326778	1	0.281080968703909	PD	msigdbSetsPruned	1.93721299177231	8.58681925634567
