Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	metabolism	0.0100678249504511	2.86621847919257	8	685	0.438429762388896	0.0116788321167883	1	0.438429762388896	PD	syngoAll	1.37993829438247	5.95331574165882
myTestGenes	maintenance.of.synapse.structure	0.0104062064674146	7.88029273263846	3	615	0.438429762388896	0.0048780487804878	1	0.438429762388896	PD	syngoAll	2.19274289771805	28.3202438446842
myTestGenes	trans.synaptic.signaling	0.0193565095621709	2.14486181301377	11	753	0.438429762388896	0.0146082337317397	1	0.438429762388896	PD	syngoAll	1.15631716966111	3.97852104736369
myTestGenes	synaptic.signaling	0.0210119692057151	2.11625318738988	11	755	0.438429762388896	0.0145695364238411	1	0.438429762388896	PD	syngoAll	1.14120935249327	3.9243698304376
myTestGenes	process.in.the.synapse	0.0210783539610046	1.4749539457889	36	1320	0.438429762388896	0.0272727272727273	1	0.438429762388896	PD	syngoAll	1.04452368061727	2.08275712898402
myTestGenes	protein.translation.at.synapse	0.0344420753844802	2.95187283794787	5	653	0.498376852950895	0.00765696784073507	1	0.498376852950895	PD	syngoAll	1.17194839133285	7.43509980119908
myTestGenes	protein.translation.at.postsynapse	0.0344420753844802	2.95187283794787	5	653	0.498376852950895	0.00765696784073507	1	0.498376852950895	PD	syngoAll	1.17194839133285	7.43509980119908
myTestGenes	chemical.synaptic.transmission	0.0416344248093988	2.03847685227516	9	732	0.498376852950895	0.0122950819672131	1	0.498376852950895	PD	syngoAll	1.03186519152164	4.02706468965574
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	0.0479208512452784	3.12430655237804	4	641	0.498376852950895	0.0062402496099844	1	0.498376852950895	PD	syngoAll	1.11003655162092	8.79366667609146
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	0.0479208512452784	3.12430655237804	4	641	0.498376852950895	0.0062402496099844	1	0.498376852950895	PD	syngoAll	1.11003655162092	8.79366667609146
myTestGenes	presynaptic.active.zone	0.0548049943457814	2.31469720750394	6	679	0.518156310178297	0.00883652430044183	1	0.518156310178297	PD	syngoAll	1.00374167977125	5.33785063468476
