Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	1.93015870020407e-05	2.56937380584926	31	1932	0.0579228616035212	0.0160455486542443	0.0900612049515219	0.0579228616035212	SCZ	msigdbSetsPruned	1.71828291360828	3.84202258074092
myTestGenes	GO_PROTEIN_PHOSPHORYLATION	2.94818682602017e-05	2.50704791973261	31	1972	0.0579228616035212	0.0157200811359026	0.137562397302101	0.0579228616035212	SCZ	msigdbSetsPruned	1.67669831516802	3.74861071605824
myTestGenes	PID_ARF6_TRAFFICKING_PATHWAY	3.72414455230526e-05	15.086356312455	5	183	0.0579228616035212	0.0273224043715847	0.173768584810564	0.0579228616035212	SCZ	msigdbSetsPruned	5.89028842524264	38.6395589409488
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	6.25056965385087e-05	3.57465563240739	15	723	0.0729128950121704	0.020746887966805	0.291651580048682	0.0729128950121704	SCZ	msigdbSetsPruned	2.07872452561176	6.14711700990841
myTestGenes	GO_ORGANELLE_ASSEMBLY	9.13340702002164e-05	3.17114917188984	17	890	0.0734699819479781	0.0191011235955056	0.42616477155421	0.0734699819479781	SCZ	msigdbSetsPruned	1.89923064763024	5.29487404961854
myTestGenes	REACTOME_GAP_JUNCTION_DEGRADATION	9.44749017762256e-05	43.6180619397747	3	148	0.0734699819479781	0.0202702702702703	0.440819891687869	0.0734699819479781	SCZ	msigdbSetsPruned	11.6809397524648	162.875193922696
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.000150409520415506	4.53258450584833	10	439	0.100258688894107	0.0227790432801822	0.70181082225875	0.100258688894107	SCZ	msigdbSetsPruned	2.35812631956281	8.71213816334707
myTestGenes	REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS	0.000235089925964359	30.2245094425676	3	152	0.131721254061253	0.0197368421052632	1	0.131721254061253	SCZ	msigdbSetsPruned	8.51613991612687	107.269370870004
myTestGenes	GO_REGULATION_OF_CATABOLIC_PROCESS	0.000279390155336349	2.77764551504426	18	1046	0.131721254061253	0.017208413001912	1	0.131721254061253	SCZ	msigdbSetsPruned	1.68534529413612	4.57788361476409
myTestGenes	GO_MEMBRANE_ORGANIZATION	0.000294847339527991	2.95627045301503	16	891	0.131721254061253	0.0179573512906846	1	0.131721254061253	SCZ	msigdbSetsPruned	1.74706667558125	5.00240495312638
myTestGenes	GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	0.000310530174597895	3.5623046487393	12	600	0.131721254061253	0.02	1	0.131721254061253	SCZ	msigdbSetsPruned	1.95676920608346	6.48518709870191
myTestGenes	GO_NEURON_RECOGNITION	0.000553005337475863	11.7131116741601	4	184	0.206180722375957	0.0217391304347826	1	0.206180722375957	SCZ	msigdbSetsPruned	4.15435176506708	33.0248839891225
myTestGenes	GO_REGULATION_OF_ORGANELLE_ASSEMBLY	0.000574442646996879	5.29256083690213	7	316	0.206180722375957	0.0221518987341772	1	0.206180722375957	SCZ	msigdbSetsPruned	2.43956290959797	11.4820569299958
myTestGenes	GO_LOCALIZATION_WITHIN_MEMBRANE	0.000666355124298429	7.79325448602912	5	224	0.222086643569748	0.0223214285714286	1	0.222086643569748	SCZ	msigdbSetsPruned	3.11252685817162	19.5130253493427
myTestGenes	GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.000893169918610662	7.27779989012622	5	230	0.267602947803503	0.0217391304347826	1	0.267602947803503	SCZ	msigdbSetsPruned	2.91138728831658	18.1928290520727
myTestGenes	GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	0.000917626910599239	17.853659142563	3	161	0.267602947803503	0.0186335403726708	1	0.267602947803503	SCZ	msigdbSetsPruned	5.28129579585693	60.3551016833559
myTestGenes	GO_POSTSYNAPSE_ORGANIZATION	0.00113955975705934	5.50522644849628	6	284	0.29130879813423	0.0211267605633803	1	0.29130879813423	SCZ	msigdbSetsPruned	2.39052889846008	12.6781643462861
myTestGenes	GO_VACUOLE_ORGANIZATION	0.00121942736248571	5.43040330588704	6	286	0.29130879813423	0.020979020979021	1	0.29130879813423	SCZ	msigdbSetsPruned	2.35854807467551	12.5031498748
myTestGenes	GO_REGULATION_OF_PROTEIN_LOCALIZATION	0.00127425643798709	2.48053794276901	17	1088	0.29130879813423	0.015625	1	0.29130879813423	SCZ	msigdbSetsPruned	1.48716216321149	4.13745631628317
myTestGenes	GO_PROTEIN_HETEROOLIGOMERIZATION	0.00139257981592902	6.55302424500661	5	240	0.29130879813423	0.0208333333333333	1	0.29130879813423	SCZ	msigdbSetsPruned	2.6274441242336	16.3436879055117
myTestGenes	GO_REGULATION_OF_CIRCADIAN_RHYTHM	0.00145190238731602	6.48842571469148	5	241	0.29130879813423	0.020746887966805	1	0.29130879813423	SCZ	msigdbSetsPruned	2.60207409515109	16.1792734240433
myTestGenes	GO_BIOLOGICAL_ADHESION	0.00149917411505963	2.22584469618816	21	1460	0.29130879813423	0.0143835616438356	1	0.29130879813423	SCZ	msigdbSetsPruned	1.39453043888977	3.55272604554497
myTestGenes	GO_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	0.00151815991861168	3.94463145160398	8	411	0.29130879813423	0.0194647201946472	1	0.29130879813423	SCZ	msigdbSetsPruned	1.91280111890469	8.13472824497999
myTestGenes	GO_RHYTHMIC_PROCESS	0.00155265500216416	3.92996648035764	8	412	0.29130879813423	0.0194174757281553	1	0.29130879813423	SCZ	msigdbSetsPruned	1.90575798454275	8.10419615817077
myTestGenes	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	0.00156080581940757	2.14157100962482	23	1651	0.29130879813423	0.013930950938825	1	0.29130879813423	SCZ	msigdbSetsPruned	1.36489027581962	3.36021618038957
myTestGenes	GO_PROTEIN_K63_LINKED_DEUBIQUITINATION	0.00173367727607665	14.0311896911981	3	167	0.295867182951015	0.0179640718562874	1	0.295867182951015	SCZ	msigdbSetsPruned	4.21522842565701	46.7054840852894
myTestGenes	REACTOME_L1CAM_INTERACTIONS	0.00177683434010727	6.18353701437769	5	246	0.295867182951015	0.0203252032520325	1	0.295867182951015	SCZ	msigdbSetsPruned	2.48219416657637	15.4041656059957
myTestGenes	GO_SYNAPTIC_VESICLE_RECYCLING	0.00179718841669685	8.35878263746778	4	202	0.295867182951015	0.0198019801980198	1	0.295867182951015	SCZ	msigdbSetsPruned	2.99994292716097	23.2901921392732
myTestGenes	GO_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.0019022750725526	13.537287406934	3	168	0.295867182951015	0.0178571428571429	1	0.295867182951015	SCZ	msigdbSetsPruned	4.0748651262403	44.9728137399771
myTestGenes	GO_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	0.0019022750725526	13.537287406934	3	168	0.295867182951015	0.0178571428571429	1	0.295867182951015	SCZ	msigdbSetsPruned	4.0748651262403	44.9728137399771
myTestGenes	GO_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	0.00226930045772193	12.6677233523692	3	170	0.325334031034406	0.0176470588235294	1	0.325334031034406	SCZ	msigdbSetsPruned	3.82673322380947	41.9342571187685
myTestGenes	GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.00230702057243749	2.40096649334176	16	1056	0.325334031034406	0.0151515151515152	1	0.325334031034406	SCZ	msigdbSetsPruned	1.42013719798691	4.05921351142791
myTestGenes	GO_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.00231737931143573	5.80169460906509	5	253	0.325334031034406	0.0197628458498024	1	0.325334031034406	SCZ	msigdbSetsPruned	2.33173103408859	14.4354815563072
myTestGenes	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	0.00237831204263931	2.65678605666806	13	806	0.325334031034406	0.0161290322580645	1	0.325334031034406	SCZ	msigdbSetsPruned	1.49322812654119	4.72701526675342
myTestGenes	GO_MEMBRANE_BIOGENESIS	0.00246811712418955	12.2714043670791	3	171	0.325334031034406	0.0175438596491228	1	0.325334031034406	SCZ	msigdbSetsPruned	3.71301627777319	40.5566132423958
myTestGenes	GO_POSITIVE_REGULATION_OF_RECEPTOR_BINDING	0.00256301208853697	32.5064070734894	2	147	0.325334031034406	0.0136054421768707	1	0.325334031034406	SCZ	msigdbSetsPruned	6.84028950902671	154.476868184159
myTestGenes	GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.00257980264643657	2.05085062814071	23	1712	0.325334031034406	0.0134345794392523	1	0.325334031034406	SCZ	msigdbSetsPruned	1.30721302584595	3.21752324662101
