Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	process.in.the.synapse	5.67464081271592e-05	1.90500737669791	50	1373	0.00590162644522456	0.0364166059723234	0.00590162644522456	0.00590162644522456	SCZ	syngoAll	1.41428462082517	2.56599912905512
myTestGenes	synapse	0.000392703565089302	1.69553685053412	55	1537	0.0141596039551981	0.0357839947950553	0.0408411707692874	0.0141596039551981	SCZ	syngoAll	1.27612513531403	2.25279256082652
myTestGenes	process.in.the.postsynapse	0.000528100092804902	2.77589264459814	16	822	0.0141596039551981	0.0194647201946472	0.0549224096517098	0.0141596039551981	SCZ	syngoAll	1.64837682740503	4.67464711116126
myTestGenes	postsynapse	0.000544600152123004	1.88079219000981	37	1192	0.0141596039551981	0.0310402684563758	0.0566384158207924	0.0141596039551981	SCZ	syngoAll	1.33499415569271	2.64973389352884
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.000745597736545205	3.45919088937065	11	754	0.0155084329201403	0.0145888594164456	0.0775421646007013	0.0155084329201403	SCZ	syngoAll	1.83554918023629	6.51903078269172
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.00301080633727031	4.72330395838193	6	704	0.0521873098460186	0.00852272727272727	0.313123859076112	0.0521873098460186	SCZ	syngoAll	1.97228780989573	11.3115338295611
myTestGenes	presynapse	0.00380972124601332	1.78612517136453	29	1098	0.0566015727979121	0.0264116575591985	0.396211009585385	0.0566015727979121	SCZ	syngoAll	1.21623607846027	2.62304595652247
myTestGenes	synaptic.vesicle.priming	0.0111791426411157	7.76961634844864	3	681	0.145328854334504	0.00440528634361234	1	0.145328854334504	SCZ	syngoAll	2.13331739244179	28.2972137272947
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.0201466766934768	5.97411557072146	3	684	0.209525437612159	0.0043859649122807	1	0.209525437612159	SCZ	syngoAll	1.6983457471099	21.0146001855458
myTestGenes	presynaptic.endocytic.zone	0.0201466766934768	5.97411557072146	3	684	0.209525437612159	0.0043859649122807	1	0.209525437612159	SCZ	syngoAll	1.6983457471099	21.0146001855458
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.0237993567685148	5.54770685727652	3	685	0.210990323204953	0.00437956204379562	1	0.210990323204953	SCZ	syngoAll	1.59045843748024	19.3510566821431
myTestGenes	postsynaptic.density	0.0243450372928792	1.83541728440683	15	884	0.210990323204953	0.0169683257918552	1	0.210990323204953	SCZ	syngoAll	1.0810262444688	3.11625793095775
myTestGenes	postsynaptic.specialization	0.0321354780228354	1.69809761357362	17	932	0.257083824182683	0.0182403433476395	1	0.257083824182683	SCZ	syngoAll	1.03326569445795	2.79070090170479
myTestGenes	postsynaptic.cytoskeleton	0.0367481822787127	4.56795419873184	3	688	0.27298649692758	0.00436046511627907	1	0.27298649692758	SCZ	syngoAll	1.33540556688734	15.6253696098843
