Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	6.92980208074489e-07	2.59874388380708	39	1249	0.00193083048387646	0.0312249799839872	0.00323344565087556	0.00193083048387646	SCZ	msigdbSetsPruned	1.84525870972826	3.65990402214073
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	8.276170098056e-07	2.16221812828874	59	2070	0.00193083048387646	0.0285024154589372	0.00386166096775293	0.00193083048387646	SCZ	msigdbSetsPruned	1.62057979621312	2.88488554850873
myTestGenes	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	8.08461610090919e-06	2.06219116178074	53	1941	0.0125742729089474	0.0273055126223596	0.0377228187268423	0.0125742729089474	SCZ	msigdbSetsPruned	1.52690739428451	2.78512790208821
myTestGenes	GO_NEUROGENESIS	1.32868590610958e-05	2.07636608292064	49	1797	0.0154991210947683	0.0272676683361157	0.0619964843790732	0.0154991210947683	SCZ	msigdbSetsPruned	1.52261370012432	2.83151012627247
myTestGenes	REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY	1.70832904713841e-05	19.6102918266784	5	320	0.0159421266678956	0.015625	0.0797106333394782	0.0159421266678956	SCZ	msigdbSetsPruned	7.08161419153201	54.3045039063749
myTestGenes	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	2.71660152989789e-05	2.09074105112819	44	1624	0.0211261045641726	0.0270935960591133	0.126756627385035	0.0211261045641726	SCZ	msigdbSetsPruned	1.51166441163512	2.89164586347868
myTestGenes	GO_RESPONSE_TO_ABIOTIC_STIMULUS	3.45178790327314e-05	2.16321636319881	39	1427	0.0230086319381035	0.0273300630693763	0.161060423566725	0.0230086319381035	SCZ	msigdbSetsPruned	1.53745412483888	3.04367132547871
myTestGenes	REACTOME_VESICLE_MEDIATED_TRANSPORT	4.87421236803202e-05	2.54652345827391	26	929	0.0284288436365468	0.0279870828848224	0.227430749092374	0.0284288436365468	SCZ	msigdbSetsPruned	1.69040361825528	3.83623275146113
myTestGenes	GO_REGULATION_OF_CELL_DIFFERENTIATION	8.28496740462885e-05	1.89210289631002	51	2001	0.0421990257141828	0.0254872563718141	0.386576579099982	0.0421990257141828	SCZ	msigdbSetsPruned	1.39487252641433	2.56658103334192
myTestGenes	GO_RESPONSE_TO_GROWTH_FACTOR	9.0439403588047e-05	2.44498368663846	26	954	0.0421990257141828	0.0272536687631027	0.421990257141828	0.0421990257141828	SCZ	msigdbSetsPruned	1.623469901348	3.6822026838715
myTestGenes	GO_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	0.000119935186191086	8.84690857240585	6	345	0.049566243636543	0.0173913043478261	0.559617578767609	0.049566243636543	SCZ	msigdbSetsPruned	3.72253530059094	21.0253993497613
myTestGenes	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	0.000127474265674778	3.46585015000872	14	547	0.049566243636543	0.0255941499085923	0.594794923638516	0.049566243636543	SCZ	msigdbSetsPruned	1.99745063087373	6.01372423260398
myTestGenes	GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.000145102842917356	5.77864535806054	8	387	0.0520807588501835	0.020671834625323	0.677049865052385	0.0520807588501835	SCZ	msigdbSetsPruned	2.77093575867407	12.0510704983697
myTestGenes	GO_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	0.00019329789507336	1.90098913336815	44	1745	0.0644234270294499	0.025214899713467	0.901927978412298	0.0644234270294499	SCZ	msigdbSetsPruned	1.3749837468846	2.62821992868769
myTestGenes	GO_REGULATION_OF_PROTEIN_LOCALIZATION	0.000234468776978754	2.10117548023495	32	1239	0.072935420892191	0.0258272800645682	1	0.072935420892191	SCZ	msigdbSetsPruned	1.44829795343069	3.04836334835838
myTestGenes	GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.000259381705015635	2.9464910771259	16	631	0.0756421897251846	0.0253565768621236	1	0.0756421897251846	SCZ	msigdbSetsPruned	1.76023424399392	4.93218996119731
myTestGenes	GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.000346837821750059	2.02762623240247	33	1303	0.0935169457916126	0.0253261703760553	1	0.0935169457916126	SCZ	msigdbSetsPruned	1.40490016151256	2.92637744015937
myTestGenes	GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.000360759756590018	7.07164085072038	6	355	0.0935169457916126	0.0169014084507042	1	0.0935169457916126	SCZ	msigdbSetsPruned	3.00896376610446	16.6197097103366
myTestGenes	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.000412558862390533	1.80446497727228	46	1889	0.0986165867751326	0.0243515087347803	1	0.0986165867751326	SCZ	msigdbSetsPruned	1.31317035935534	2.47956697393074
myTestGenes	GO_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	0.000422702900879265	1.75264721521839	51	2122	0.0986165867751326	0.0240339302544769	1	0.0986165867751326	SCZ	msigdbSetsPruned	1.2923806460376	2.37683245290831
myTestGenes	GO_GROWTH	0.000470750485434904	2.06009719221711	30	1194	0.104596274525679	0.0251256281407035	1	0.104596274525679	SCZ	msigdbSetsPruned	1.40481385392961	3.02104113616856
myTestGenes	GO_HORMONE_MEDIATED_SIGNALING_PATHWAY	0.000499505973723666	3.34185716620521	12	519	0.105512563142467	0.023121387283237	1	0.105512563142467	SCZ	msigdbSetsPruned	1.84729647677209	6.04559661090882
myTestGenes	PID_CMYB_PATHWAY	0.000520100504131323	5.43915051229012	7	381	0.105512563142467	0.0183727034120735	1	0.105512563142467	SCZ	msigdbSetsPruned	2.48687435342887	11.8962014524599
myTestGenes	GO_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	0.000601992261817105	3.09068875731319	13	556	0.112442575671571	0.0233812949640288	1	0.112442575671571	SCZ	msigdbSetsPruned	1.7489534370924	5.46175603763514
myTestGenes	GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.00060245700638433	2.02647125784583	30	1208	0.112442575671571	0.0248344370860927	1	0.112442575671571	SCZ	msigdbSetsPruned	1.3820043664425	2.97147090023044
myTestGenes	GO_FAT_CELL_DIFFERENTIATION	0.000810652877766681	3.35405917351917	11	500	0.145481012602282	0.022	1	0.145481012602282	SCZ	msigdbSetsPruned	1.80747206553256	6.22400376414861
myTestGenes	PID_ILK_PATHWAY	0.000857931523624953	7.53656565308258	5	344	0.148263277379038	0.0145348837209302	1	0.148263277379038	SCZ	msigdbSetsPruned	2.94988355009281	19.2549369758806
myTestGenes	GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	0.000904492282572369	3.55373959007483	10	472	0.150727178231524	0.0211864406779661	1	0.150727178231524	SCZ	msigdbSetsPruned	1.85821012803005	6.79636004753331
myTestGenes	GO_MRNA_METABOLIC_PROCESS	0.000965323752640514	2.06873808850872	26	1067	0.152522619363535	0.0243673851921275	1	0.152522619363535	SCZ	msigdbSetsPruned	1.37511524347377	3.11223171960159
myTestGenes	GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.000986226109392522	3.26927720880318	11	505	0.152522619363535	0.0217821782178218	1	0.152522619363535	SCZ	msigdbSetsPruned	1.76248585885019	6.06426055240674
myTestGenes	GO_MULTICELLULAR_ORGANISM_GROWTH	0.00101333073301963	3.80847886723894	9	445	0.152522619363535	0.0202247191011236	1	0.152522619363535	SCZ	msigdbSetsPruned	1.9222635146999	7.54553742048734
myTestGenes	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	0.0011045784311482	2.8809403553639	13	574	0.154929577900158	0.0226480836236934	1	0.154929577900158	SCZ	msigdbSetsPruned	1.6317290561238	5.08651684543794
myTestGenes	PID_VEGFR1_2_PATHWAY	0.00110840539839533	5.6094218583111	6	368	0.154929577900158	0.016304347826087	1	0.154929577900158	SCZ	msigdbSetsPruned	2.40916117595581	13.0608171418895
myTestGenes	GO_REGULATION_OF_TELOMERASE_ACTIVITY	0.0011626851553025	6.99562332755421	5	347	0.154929577900158	0.0144092219020173	1	0.154929577900158	SCZ	msigdbSetsPruned	2.74846286718287	17.8058602593318
myTestGenes	REACTOME_SIGNALING_BY_HEDGEHOG	0.00116607858648696	3.72805383324317	9	448	0.154929577900158	0.0200892857142857	1	0.154929577900158	SCZ	msigdbSetsPruned	1.88246287322696	7.38308605244051
myTestGenes	REACTOME_SIGNALING_BY_NOTCH1	0.00119534179262874	5.52210751053239	6	369	0.154929577900158	0.016260162601626	1	0.154929577900158	SCZ	msigdbSetsPruned	2.3729986133911	12.8502693536351
