Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_PROTEIN_REFOLDING	6.30415938103225e-06	9.84303659758605	8	542	0.0294152076718965	0.014760147601476	0.0294152076718965	0.0294152076718965	SCZ	msigdbSetsPruned	4.46406841314406	21.7033791812302
myTestGenes	GO_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	4.43038662461425e-05	17.1422036481734	5	524	0.10336091995225	0.00954198473282443	0.206721839904501	0.10336091995225	SCZ	msigdbSetsPruned	5.83804320105989	50.3345274769636
myTestGenes	GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	9.5574449817988e-05	1.85335758049874	51	1494	0.140658204473323	0.034136546184739	0.445950382850732	0.140658204473323	SCZ	msigdbSetsPruned	1.37813250572915	2.49245577396403
myTestGenes	GO_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	0.000120581401177302	6.12021007314021	8	559	0.140658204473323	0.0143112701252236	0.56263281789329	0.140658204473323	SCZ	msigdbSetsPruned	2.87018607491708	13.0503634125704
myTestGenes	GO_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.00015603897174168	12.2416441246462	5	528	0.145615568429335	0.00946969696969697	0.728077842146677	0.145615568429335	SCZ	msigdbSetsPruned	4.39255340703739	34.1163412229425
myTestGenes	GO_PROTEIN_FOLDING	0.000250822820880254	2.96889370858928	16	701	0.195056547037878	0.0228245363766049	1	0.195056547037878	SCZ	msigdbSetsPruned	1.76816569132045	4.98501350646528
myTestGenes	GO_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	0.00038405284037732	15.2045877228168	4	523	0.247630513210934	0.00764818355640535	1	0.247630513210934	SCZ	msigdbSetsPruned	4.6669104933199	49.5358734974104
myTestGenes	GO_RECEPTOR_RECYCLING	0.000424570104090757	7.10024095826981	6	543	0.247630513210934	0.0110497237569061	1	0.247630513210934	SCZ	msigdbSetsPruned	2.9348588498501	17.1774603974795
myTestGenes	GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	0.000478376855775393	1.84769218432726	40	1277	0.248011823227554	0.0313234142521535	1	0.248011823227554	SCZ	msigdbSetsPruned	1.32732599520716	2.57206324621948
myTestGenes	REACTOME_VESICLE_MEDIATED_TRANSPORT	0.00107708873996794	1.87381232320644	33	1131	0.495000282011772	0.0291777188328912	1	0.495000282011772	SCZ	msigdbSetsPruned	1.30504678953939	2.69045726999534
myTestGenes	PID_PDGFRB_PATHWAY	0.00119533634847181	3.21523229443179	11	632	0.495000282011772	0.0174050632911392	1	0.495000282011772	SCZ	msigdbSetsPruned	1.7223320806182	6.00216347560953
myTestGenes	GO_REGULATION_OF_MRNA_PROCESSING	0.00127303973084896	3.18803087697846	11	633	0.495000282011772	0.0173775671406003	1	0.495000282011772	SCZ	msigdbSetsPruned	1.70813517784091	5.95007994941874
myTestGenes	GO_DICARBOXYLIC_ACID_METABOLIC_PROCESS	0.00182823739600982	3.51953683021978	9	602	0.65619659152168	0.0149501661129568	1	0.65619659152168	SCZ	msigdbSetsPruned	1.76247207375575	7.02827561566809
myTestGenes	GO_REGULATION_OF_VIRAL_TRANSCRIPTION	0.00227439187566841	4.21690237599345	7	571	0.75802232084777	0.0122591943957968	1	0.75802232084777	SCZ	msigdbSetsPruned	1.91394730882734	9.2908856825083
myTestGenes	GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS	0.00276359197755391	3.29376437801187	9	608	0.859661344484435	0.0148026315789474	1	0.859661344484435	SCZ	msigdbSetsPruned	1.65274322132244	6.56416776538291
myTestGenes	REACTOME_MRNA_SPLICING_MINOR_PATHWAY	0.00353843124710566	4.47294220092642	6	560	0.902602950648109	0.0107142857142857	1	0.902602950648109	SCZ	msigdbSetsPruned	1.90166950727241	10.5208669836249
myTestGenes	GO_REGULATION_OF_MRNA_METABOLIC_PROCESS	0.00366965887246103	2.134598512017	18	806	0.902602950648109	0.0223325062034739	1	0.902602950648109	SCZ	msigdbSetsPruned	1.31518567021422	3.46453805778086
myTestGenes	GO_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	0.00379212268955083	7.2003374548855	4	533	0.902602950648109	0.0075046904315197	1	0.902602950648109	SCZ	msigdbSetsPruned	2.44074752149982	21.2413856851399
