Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	presynaptic.endocytic.zone	0.00985005734161524	7.88177681190968	3	527	0.810471044276143	0.00569259962049336	1	0.810471044276143	SCZ	syngoAll	2.23909234884833	27.7444589298471
myTestGenes	process.in.the.presynapse	0.0279019457016647	1.94574849935866	12	726	0.810471044276143	0.0165289256198347	1	0.810471044276143	SCZ	syngoAll	1.08038688118042	3.50424212724615
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.0445244064864865	6.81799550422388	2	524	0.810471044276143	0.00381679389312977	1	0.810471044276143	SCZ	syngoAll	1.4900574259638	31.1968263005363
myTestGenes	neurotransmitter.receptor.transport	0.0516450441049623	6.19799127670964	2	525	0.810471044276143	0.00380952380952381	1	0.810471044276143	SCZ	syngoAll	1.37025991214072	28.0348972671571
myTestGenes	postsynaptic.actin.cytoskeleton	0.06698003404483	5.24402986848846	2	527	0.810471044276143	0.00379506641366224	1	0.810471044276143	SCZ	syngoAll	1.18030367160865	23.2989610412033
myTestGenes	presynapse.assembly	0.0751414592881441	4.86954764892326	2	528	0.810471044276143	0.00378787878787879	1	0.810471044276143	SCZ	syngoAll	1.10381930675893	21.4822246358051
myTestGenes	postsynapse.to.nucleus.signaling.pathway	0.0751414592881441	4.86954764892326	2	528	0.810471044276143	0.00378787878787879	1	0.810471044276143	SCZ	syngoAll	1.10381930675893	21.4822246358051
myTestGenes	synaptic.vesicle.cycle	0.088787323947467	1.80110340211283	8	666	0.810471044276143	0.012012012012012	1	0.810471044276143	SCZ	syngoAll	0.879816900653374	3.68710064866152
myTestGenes	postsynaptic.signaling.pathway	0.0923288465182775	4.26028205724699	2	530	0.810471044276143	0.00377358490566038	1	0.810471044276143	SCZ	syngoAll	0.976979861919029	18.5776635883257
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.0923288465182775	4.26028205724699	2	530	0.810471044276143	0.00377358490566038	1	0.810471044276143	SCZ	syngoAll	0.976979861919029	18.5776635883257
myTestGenes	anchored.component.of.synaptic.vesicle.membrane	0.0923288465182775	4.26028205724699	2	530	0.810471044276143	0.00377358490566038	1	0.810471044276143	SCZ	syngoAll	0.976979861919029	18.5776635883257
