Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_CELL_CYCLE_G2_M_PHASE_TRANSITION	3.67809823175077e-06	3.00130829944009	26	891	0.0171620063493491	0.0291806958473625	0.0171620063493491	0.0171620063493491	SCZ	msigdbSetsPruned	1.98620213039642	4.53521389914637
myTestGenes	GO_CYTOSKELETON_ORGANIZATION	4.37093850220421e-05	1.72297531381763	72	1813	0.101973995256424	0.0397131825703254	0.203947990512848	0.101973995256424	SCZ	msigdbSetsPruned	1.33920664664521	2.21671833802617
myTestGenes	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	7.81585361961131e-05	1.6587693280014	77	1942	0.121562576630355	0.0396498455200824	0.364687729891064	0.121562576630355	SCZ	msigdbSetsPruned	1.29904925106453	2.11809958803596
myTestGenes	GO_VIRAL_GENE_EXPRESSION	0.00019873695105799	2.83027459715582	18	827	0.227767399552612	0.0217654171704958	0.927306613636583	0.227767399552612	SCZ	msigdbSetsPruned	1.73031533056177	4.62947657795117
myTestGenes	GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.000280688936774985	3.64958223554079	12	744	0.227767399552612	0.0161290322580645	1	0.227767399552612	SCZ	msigdbSetsPruned	1.98646411115357	6.70510502514947
myTestGenes	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	0.000292885640230534	2.64775777663147	19	849	0.227767399552612	0.0223792697290931	1	0.227767399552612	SCZ	msigdbSetsPruned	1.64190027187052	4.26982159868068
myTestGenes	GO_PROTEIN_K48_LINKED_UBIQUITINATION	0.000709452074560885	4.63709768255176	8	702	0.456161111818757	0.0113960113960114	1	0.456161111818757	SCZ	msigdbSetsPruned	2.17971791799424	9.86488881887682
myTestGenes	BIOCARTA_DREAM_PATHWAY	0.00096412576464024	11.7996234815619	4	665	0.456161111818757	0.00601503759398496	1	0.456161111818757	SCZ	msigdbSetsPruned	3.62430169845458	38.4159835164929
myTestGenes	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	0.00106188871570794	1.80620227628977	37	1211	0.456161111818757	0.0305532617671346	1	0.456161111818757	SCZ	msigdbSetsPruned	1.2826201028764	2.54351748858307
myTestGenes	GO_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	0.0010703219191834	3.8732679420096	9	718	0.456161111818757	0.0125348189415042	1	0.456161111818757	SCZ	msigdbSetsPruned	1.91661483086338	7.82744884836421
